3月 30, 2025, 23:31:34:    Error pasting content .. Cannot open clipboard: 拒绝访问。 (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:24:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:25:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:26:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:27:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:38:02:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
Apr 04, 2025, 23:56:16:    Cannot retrieve HTML code from an HTML component .. Element window: Element #560 .. Access violation at address 00B4415D in module 'sm19.exe'. Read of address 4F7FFF0C (19.08, Jan 6, 2025)
May 09, 2025, 14:48:01:    Cannot copy component to clipboard .. Cannot open clipboard: 拒绝访问。 (19.08, Jan 6, 2025)
5月 17, 2025, 15:21:12:    File not found: h:&#223;\20\1101.HTM (19.08, Jan 6, 2025)
5月 20, 2025, 23:12:49:    Removing from beyond the queue's end at position #71 (19.08, Jan 6, 2025)
5月 20, 2025, 23:13:31:    Removing from beyond the queue's end at position #72 (19.08, Jan 6, 2025)
5月 20, 2025, 23:13:40:    Removing from beyond the queue's end at position #72 (19.08, Jan 6, 2025)
5月 20, 2025, 23:13:55:    Removing from beyond the queue's end at position #73 (19.08, Jan 6, 2025)
May 29, 2025, 17:53:21:    This file does not form a correct SuperMemoElement tree structure .. Please inspect the file for damaged content .. (19.1, Apr 23, 2025)
Jun 05, 2025, 00:53:44:    Cannot copy component to clipboard .. Cannot open clipboard: 拒绝访问。 (19.1, Apr 23, 2025)
Aug 07, 2025, 13:12:51:    Cannot load image .. File: h:\siyuanmemo\supermemo\systems\examination\temp\ImageDownload-El1649-Comp1-Full-17.JPG .. JPEG error #53 (19.1, Apr 23, 2025)
Aug 07, 2025, 13:12:55:    Cannot load image .. File: h:\siyuanmemo\supermemo\systems\examination\temp\ImageDownload-El1649-Comp1-Full-10.JPG .. JPEG error #53 (19.1, Apr 23, 2025)
Aug 10, 2025, 14:39:03:    Element changed while loading HTML .. Loading: Item #1,269: "[.]": 把 A 从 B 分开。 .. Changed to: Item #1,981: 性质 (Property)：这是一个由“[.]”推导出来的结论。 它告诉你“因为它是这个东西，所以它拥有这些特点”。 平行四边形的性质包括：对边相等、对角相等、邻角互补、对角线互相平分等等。 所有这些性质，都可以从“两组对边分别平行”这个定义出发，一步步被证明出来 (19.1, Apr 23, 2025)
Aug 17, 2025, 12:59:46:    This HTML page keeps calling navigation back to the previous page .. Please filter the text, edit it, or delete the article! .. Script filters might help (use F6) (19.1, Apr 23, 2025)
Aug 17, 2025, 12:59:57:    This HTML page keeps calling navigation back to the previous page .. Please filter the text, edit it, or delete the article! .. Script filters might help (use F6) (19.1, Apr 23, 2025)
Oct 31, 2025, 16:31:25:    Element changed while processing messages .. Old element: Topic #1,123: <!DOCTYPE html> <html> <head> <meta charset="UTF-8"> <title>数学辅助学习</title> </head> <body> <h2>解释</h2> <p>每个尺寸都精确到最近的 1 英尺。因此，这些测量值可能存在的最大误差是</p> <p>\(\frac{1 \text{ ft}}{2} = . .. New element: Topic #1,104: Math Academy (19.1, Apr 23, 2025)
11月 01, 2025, 19:50:16:    Error pasting image .. Unsupported clipboard format (19.1, Apr 23, 2025)
Nov 04, 2025, 08:27:05:    Cannot verify YouTube open dialog variable .. Access violation at address 00B0FF9D in module 'sm19.exe'. Read of address 000004A7 (19.1, Apr 23, 2025)
Nov 04, 2025, 08:27:12:    Cannot find the element from the window element in the browser .. Access violation at address 009BE077 in module 'sm19.exe'. Read of address 00000022 (19.1, Apr 23, 2025)
Nov 04, 2025, 08:27:25:    Cannot open the browser .. Access violation at address 009B2707 in module 'sm19.exe'. Read of address 00000000 (19.1, Apr 23, 2025)
Dec 02, 2025, 17:25:52:    Element missing from the priority queue .. Topic #1,544: 总结与路线图. 第一步： 牢牢掌握 “一般现在”、“一般过去”、“一般将来”、“现在进行” 这四大金刚。做到能脱口而出。. 第二步： 攻克难点 “现在完成时”。这是整个时态系统的关键。. 第三步： 学习 “过去进行”、“过去完成” 等，它们常用于讲故事。. 第四步： 在实践中不断运用和体会。 . ..  .. Setting the maximum priority! (19.1, Apr 23, 2025)
